Карта,operations_per_day,special_discount_3,special_discount_224,Сумма,Бонусы,СуммаСкидки,СписаноБонусов,is_fraud
002043206DC69131FC6444B0880F2D07,1.0,0,0,800.0,5372.0,83.46,8345.0,0
0049F1FFC58BD9977F50E56C71D5536B,1.5,0,0,259.69,965.17,0.04,0.0,0
005595BFFC7222DBB557E59A3872E56D,1.71,7,0,326.86,2463.14,25.27,1630.57,0
00DC9FCD81231002E2015CF04A2B01C2,1.0,11,0,790.27,5300.55,83.3,5490.0,1
00EB869662094C3C148EAEB8672D2BB7,1.75,7,0,510.04,3717.62,18.7,0.0,0
00ECA74B5502D514B0E90B75B6FE11B7,1.43,0,0,682.86,4397.86,28.67,2857.14,0
00F71CF087728F9CAD63A1C2A52F0E53,1.0,0,0,669.59,4713.2,39.19,3919.0,0
0103FD6E2BD6B257D61C5C955FC72243,1.0,12,0,677.6,4631.0,80.43,5535.17,0
011B0CB6B71F1BCD7281DF1486FF9DB0,2.04,0,23,441.14,5040.61,50.38,5031.5,1
011CE0884DA050228F4CC0D963BA63F5,1.69,13,0,407.2,1487.08,52.22,1368.54,0
012AD6DCB851EBE05A0ACD4331841EFB,1.5,0,0,207.66,361.0,4.91,484.12,0
01517F6231B4B945FBFEEFCB6B919D9A,1.6,0,0,685.56,7609.4,0.05,0.0,0
01561DE0925427C9B9AB25C0DBBB9F16,1.0,0,0,226.92,759.0,10.09,1000.0,0
022BB24FC02A878ABEAADC79D7595B2E,1.0,6,0,724.85,5173.33,83.06,4197.0,0
0244890AC2DC089569DC63E6A4157637,1.0,8,0,734.66,5063.75,101.19,8153.25,0
0295884746D06477786F17F3B6EA6B4D,1.0,0,0,500.02,2961.71,57.06,5701.14,0
02CC28E1ED9EAF394B79305D41D2E450,1.0,0,0,420.0,2165.4,0.15,15.0,0
02E0F99778B83B3C180F8885525C9AB1,1.0,0,0,540.0,3227.3,0.14,0.0,0
02EA4008C41D61A830D7C7F6EC83AF8D,1.0,0,0,383.35,2362.0,39.11,3912.33,0
02F06A7D4A5F4CBF1840877B8D63C03C,1.0,5,0,372.06,571.8,14.31,0.0,0
03033593505CCD54C5CAD9279538E9A2,1.0,0,0,180.83,1385.83,4.2,418.5,0
0307C7B7DCA219DF5D7073E1B099AE27,1.0,0,0,300.05,1473.83,40.89,4083.5,0
031485660405F06D8F1ED76C8362DC39,1.0,0,0,200.88,752.4,0.01,0.0,0
03184ABC07589BB77766CABC2F195870,1.88,8,0,1188.97,8628.25,146.8,10002.38,0
0346FFDF77DB145ADF9DD8F3C77AF5BA,1.0,0,0,832.8,5826.8,8.8,880.0,0
037FCC2DEB51307428BD91856A475BE1,1.0,7,0,793.71,5778.86,58.59,2857.14,0
03CFC46D8D7A9C6E739EF782FCDA5A18,1.8,0,0,266.01,1214.2,20.21,2002.4,0
03F0870E2D46E3905FAFD54F83DA99BD,1.0,0,0,400.11,2065.0,20.13,2000.0,0
040E12F5E4E2D7D8DE377B28102F0F83,1.5,0,0,534.36,3486.62,75.51,7553.5,0
0418CA37ABD0AF241D5D4B61BFA02E86,1.82,0,0,132.77,132.73,0.08,0.0,0
04233B4B0ED15F4E409074F5E6BF4C73,1.0,0,0,226.01,829.2,0.04,3.6,0
04351BF29A6175BFF9B2882C687A4580,1.0,0,0,524.48,3250.17,0.09,0.0,0
0450F40B4BDF0B815A8675836FCFED3F,1.0,0,0,319.4,1306.25,0.1,0.0,0
0472702DADDF06C6D695C1100EAD11F0,1.0,0,0,375.0,2120.0,0.16,0.0,0
04BC80A92D2559CC8ECBC1919F510F66,1.0,0,0,280.07,1382.4,200.13,20009.0,0
05098110B22F760BDCA98CEA91D4D087,1.0,0,0,829.27,5695.5,62.62,6264.38,0
051D8004E607DEFC69E8391994928751,1.33,0,0,362.92,1877.33,26.39,2630.33,0
0549841205E25322D5C0A383B75F9FA7,1.17,0,0,683.85,4356.58,65.02,6492.42,0
05766B94BFAE4E765370D243BC0C96D8,1.0,0,0,1697.57,14095.2,0.05,0.0,0
057B5FE5C386A6F2656A4C567423A781,1.0,0,0,212.5,393.88,0.08,0.0,0
059B0E3B3096C001F55689BF06323916,1.6,5,0,860.2,6063.6,31.11,77.0,0
0627671DB66697625383273109AE0D89,1.0,8,0,405.75,2923.25,45.28,2951.5,0
0637A91DF944095C2B9F9507FD6FC344,1.6,15,0,643.43,2413.53,90.02,2707.07,0
066266D0E31FF6A01BA37FDDA0E76638,1.0,6,0,312.16,1296.17,10.72,0.0,0
06681BB0B0885E7CFF17BF3CB12CC9D6,1.0,0,0,440.0,2238.0,0.1,0.0,0
0669B50CFECD9CE9C7D07697806CD36C,1.6,0,0,394.8,1908.6,40.07,4000.0,0
06B102FB668E033ECE08C92595E39EAA,1.0,5,0,1220.08,8774.8,217.07,16721.8,0
070E0BD33EDE5EEE5A51C260DCFF8557,1.0,0,0,222.71,613.0,3.68,354.71,0
07446C108284425EA85DB5874D82BEA5,1.67,0,0,252.12,1121.58,0.12,0.0,0
0783F17A1AECE66CCBF51D6E59F99D07,1.91,0,0,297.28,1367.18,18.34,1818.45,0
07A245E2A9160B48A2AD847EE3447DBD,1.82,0,0,191.01,190.82,12.76,1274.36,0
07A7235EA677BA70A32E9D39DCAD921D,1.5,0,0,253.24,710.88,0.11,0.0,0
07B302B33A9A50EA348020CB1442F8DD,1.71,0,0,669.95,3963.0,37.32,3719.71,0
07F7B4C961E2CA2AFFA5949B58055E15,1.6,0,0,491.8,3046.4,0.0,0.0,0
07FEEE5C50289ADB470A864F27B76213,1.0,0,0,447.11,3713.0,0.0,0.0,0
0876661A178668CC4D84388724141F0B,1.0,0,0,343.8,2828.4,0.4,40.0,0
087C3A1DB079D413A022B2755837AA79,1.0,0,1,630.43,4500.75,49.31,4931.67,0
0884654C42FB9FF511505C0A4EA986B6,1.0,0,0,436.34,2394.6,0.24,18.0,0
088567F675EEA6B5575E9E488640481F,1.67,0,0,241.14,519.83,0.0,0.0,0
08A64F0921D159C69E6E3D6864487965,1.0,0,1,500.07,3309.6,0.0,0.0,0
08A812DF62A6FEA308FF568521B0090C,1.0,0,0,230.0,659.5,0.09,0.0,0
08B0111E2AEC41E102D267BABF891955,1.0,13,0,939.86,6261.69,97.91,6437.69,1
08C024D20731E5EFA7B1CE63A03F9687,2.12,0,0,667.58,4243.29,27.37,2727.24,0
08F89CB7A510663D81A137830C083C58,1.0,9,0,538.11,0.0,67.44,0.0,0
094145F97856338EE7159D0D2DD940A5,1.0,0,0,565.0,2084.5,35.52,3551.88,0
095371AF14EA1693A41DBEEBFB25794E,1.67,6,0,484.01,3563.33,51.22,3216.33,0
0972D53FE8B5CA0BE803A76B93F07AE2,1.0,5,0,1332.51,9447.2,110.46,6103.8,0
